Relatório de linhas por arquivo e por módulo
Gerado em: 2026-01-19T16:00:36.015738
Raiz do repositório: c:\xampp\htdocs\ImproovWeb
Arquivos considerados (ignora .gitignore quando há Git): 645
Total de arquivos: 645  Total de linhas: 189605

Ranking de módulos por linhas:
412. infoCliente/buscar_cliente.php —       51 linhas  /     1 arquivos
413. sql/2026-01-13_flow_referencias_migration_remove_obra.sql —       51 linhas  /     1 arquivos
414. Dashboard/buscar_historico.php —       50 linhas  /     1 arquivos
415. FlowReview/fluxo_P00.md        —       50 linhas  /     1 arquivos
416. FlowReview/register.php        —       50 linhas  /     1 arquivos
417. Pos-Producao/buscar_imagens.php —       50 linhas  /     1 arquivos
418. Revisao/vendor/composer/autoload_real.php —       50 linhas  /     1 arquivos
419. ScriptArquivos/vendor/composer/autoload_real.php —       50 linhas  /     1 arquivos
420. ScriptArquivos/vendor/composer/installed.php —       50 linhas  /     1 arquivos
421. vendor/composer/autoload_real.php —       50 linhas  /     1 arquivos
422. Dashboard/get_fotografico.php  —       49 linhas  /     1 arquivos
423. Dashboard/salvar.php           —       49 linhas  /     1 arquivos
424. ScriptArquivos/vendor/composer/autoload_static.php —       49 linhas  /     1 arquivos
425. FlowReview/login.php           —       48 linhas  /     1 arquivos
426. Animacao/atualizar_tabela.php  —       47 linhas  /     1 arquivos
427. Dashboard/salvarOrcamento.php  —       47 linhas  /     1 arquivos
428. Metas/count_images.php         —       47 linhas  /     1 arquivos
429. Pagamento/updateValor.php      —       47 linhas  /     1 arquivos
430. Revisao/teste.php              —       47 linhas  /     1 arquivos
431. Dashboard/handoff_comercial_get.php —       46 linhas  /     1 arquivos
432. FlowReview/auth_cookie.php     —       46 linhas  /     1 arquivos
433. ML/README.md                   —       46 linhas  /     1 arquivos
434. PaginaPrincipal/addTask.php    —       46 linhas  /     1 arquivos
435. Revisao/buscar_mencoes.php     —       46 linhas  /     1 arquivos
436. scripts/nginx-ws.conf.sample   —       46 linhas  /     1 arquivos
437. CHANGELOG/Flow/render.md       —       45 linhas  /     1 arquivos
438. Custos/CAP_TIV - Custos.csv    —       45 linhas  /     1 arquivos
439. GANTT/atribuir_colab.php       —       45 linhas  /     1 arquivos
440. Quadro/colaboradores.php       —       45 linhas  /     1 arquivos
441. notificacoes/getPendentesPostagem.php —       45 linhas  /     1 arquivos
442. GANTT/update_data.php          —       44 linhas  /     1 arquivos
443. atualizarTabela.php            —       44 linhas  /     1 arquivos
444. Gestao/getGanttDados.php       —       43 linhas  /     1 arquivos
445. Pos-Producao/atualizar_tabela.php —       43 linhas  /     1 arquivos
446. inserir_imagem.php             —       43 linhas  /     1 arquivos
447. log_por_funcao.php             —       43 linhas  /     1 arquivos
448. Backup/backup_tabelas.php      —       42 linhas  /     1 arquivos
449. ControleComercial/process_csv.php —       42 linhas  /     1 arquivos
450. Pagamento/schema.sql           —       42 linhas  /     1 arquivos
451. Pos-Producao/obter_notificacoes.php —       42 linhas  /     1 arquivos
452. Dashboard/atualizarValores.php —       41 linhas  /     1 arquivos
453. Imagens/buscaAJAX.php          —       41 linhas  /     1 arquivos
454. PaginaPrincipal/Overview/getFeedbacks.php —       41 linhas  /     1 arquivos
455. verifica_respostas.php         —       41 linhas  /     1 arquivos
456. PaginaPrincipal/getInfosTarefaCriada.php —       40 linhas  /     1 arquivos
457. Pos-Producao/buscaAJAX.php     —       40 linhas  /     1 arquivos
458. Animacao/inserir_imagem.php    —       39 linhas  /     1 arquivos
459. Pagamento/insertHistorico.php  —       39 linhas  /     1 arquivos
460. TelaGerencial/buscar_entregas_mes.php —       39 linhas  /     1 arquivos
461. config/version.php             —       39 linhas  /     1 arquivos
462. review/teste/api_get_imagens.php —       39 linhas  /     1 arquivos
463. update_priority.php            —       39 linhas  /     1 arquivos
464. Arquivos/getArquivos.php       —       38 linhas  /     1 arquivos
465. ControleComercial/buscaAJAX.php —       38 linhas  /     1 arquivos
466. package.json                   —       38 linhas  /     1 arquivos
467. Arquitetura/update_funcao_caderno.php —       37 linhas  /     1 arquivos
468. Dashboard/save_fotografico_info.php —       37 linhas  /     1 arquivos
469. Entregas/remove_imagem_entrega.php —       37 linhas  /     1 arquivos
470. Imagens/atualizar_imagens.php  —       37 linhas  /     1 arquivos
471. log_debug_entrada.txt          —       37 linhas  /     1 arquivos
472. teste.php                      —       37 linhas  /     1 arquivos
473. Dashboard/deleteObs.php        —       36 linhas  /     1 arquivos
474. Entregas/get_imagem_funcao.php —       36 linhas  /     1 arquivos
475. FlowReferencias/getUploads.php —       36 linhas  /     1 arquivos
476. PainelProducao/assignColaborador.php —       36 linhas  /     1 arquivos
477. notificacoes/actions/delete.php —       36 linhas  /     1 arquivos
478. Arquivos/getImagensObra.php    —       35 linhas  /     1 arquivos
479. Backup/backup_completo.php     —       35 linhas  /     1 arquivos
480. notificacoes/actions/recipients.php —       35 linhas  /     1 arquivos
481. script/controleSessao.js       —       35 linhas  /     1 arquivos
482. Arquitetura/buscaAJAX.php      —       34 linhas  /     1 arquivos
483. Custos/busca_detalhes.php      —       34 linhas  /     1 arquivos
484. Entregas/get_imagens.php       —       34 linhas  /     1 arquivos
485. GANTT/buscar_imagens.php       —       34 linhas  /     1 arquivos
486. Pagamento/setup/create_tables.php —       34 linhas  /     1 arquivos
487. CHANGELOG/Flow/.obsidian/core-plugins.json —       33 linhas  /     1 arquivos
488. Dashboard/batch_actions.php    —       33 linhas  /     1 arquivos
489. Dashboard/dadosTotais.php      —       33 linhas  /     1 arquivos
490. Revisao/liberar_angulo.php     —       33 linhas  /     1 arquivos
491. buscaNomeImagem.php            —       33 linhas  /     1 arquivos
492. ler_notificacao.php            —       33 linhas  /     1 arquivos
493. review/aprovar_imagem.php      —       33 linhas  /     1 arquivos
494. session_debug.php              —       33 linhas  /     1 arquivos
495. Arquivos/checkArquivoExistente.php —       32 linhas  /     1 arquivos
496. Dashboard/add_fotografico_altura.php —       32 linhas  /     1 arquivos
497. FollowUp/get_angles.php        —       32 linhas  /     1 arquivos
498. ScriptArquivos/buscar_imagens_tipo.php —       32 linhas  /     1 arquivos
499. Calendario/getObraPrazos.php   —       31 linhas  /     1 arquivos
500. FlowReview/buscar_comentarios.php —       31 linhas  /     1 arquivos
501. GANTT/remover_e_alocar.php     —       31 linhas  /     1 arquivos
502. ScriptArquivos/lista_pendentes.php —       31 linhas  /     1 arquivos
503. review/buscar_comentarios.php  —       31 linhas  /     1 arquivos
504. scripts/txt_importer/README.md —       31 linhas  /     1 arquivos
505. sons/not.mp3                   —       31 linhas  /     1 arquivos
506. Dashboard/atualizarOrdem.php   —       30 linhas  /     1 arquivos
507. Imagens/atualizar_tabela.php   —       30 linhas  /     1 arquivos
508. Pos-Producao/delete.php        —       30 linhas  /     1 arquivos
509. inserir_acomp_email.php        —       30 linhas  /     1 arquivos
510. FlowReview/responder_comentario.php —       29 linhas  /     1 arquivos
511. Pagamento/dados_grafico.php    —       29 linhas  /     1 arquivos
512. renova_sessao.php              —       29 linhas  /     1 arquivos
513. Dashboard/verifica_tipo_arquivo.php —       28 linhas  /     1 arquivos
514. FlowReview/auth_check.php      —       28 linhas  /     1 arquivos
515. FlowReview/logout.php          —       28 linhas  /     1 arquivos
516. PaginaPrincipal/mark_daily_panel_seen.php —       28 linhas  /     1 arquivos
517. Dashboard/Calendario/getEventosEntrega.php —       27 linhas  /     1 arquivos
518. Dashboard/producao_orcamento.php —       27 linhas  /     1 arquivos
519. Pos-Producao/atulizar_imagem.php —       27 linhas  /     1 arquivos
520. Prioridade/definir_prioridade.php —       27 linhas  /     1 arquivos
521. ScriptArquivos/salvar_revisao.php —       27 linhas  /     1 arquivos
522. scripts/mock_slack_users.json  —       27 linhas  /     1 arquivos
523. verificar_meta.php             —       27 linhas  /     1 arquivos
524. Calendario/buscarPrazosObra.php —       26 linhas  /     1 arquivos
525. Colaborador/usuarios.php       —       26 linhas  /     1 arquivos
526. Dashboard/tarefas.php          —       26 linhas  /     1 arquivos
527. Revisao/vendor/composer/platform_check.php —       26 linhas  /     1 arquivos
528. ScriptArquivos/vendor/composer/platform_check.php —       26 linhas  /     1 arquivos
529. vendor/composer/platform_check.php —       26 linhas  /     1 arquivos
530. Acompanhamento/buscar_acomp.php —       25 linhas  /     1 arquivos
531. PaginaPrincipal/markNotificacao.php —       25 linhas  /     1 arquivos
532. Revisao/atualizar_historico.php —       25 linhas  /     1 arquivos
533. Revisao/vendor/autoload.php    —       25 linhas  /     1 arquivos
534. ScriptArquivos/upload.php      —       25 linhas  /     1 arquivos
535. ScriptArquivos/vendor/autoload.php —       25 linhas  /     1 arquivos
536. alterarStatus.php              —       25 linhas  /     1 arquivos
537. excluirFuncao.php              —       25 linhas  /     1 arquivos
538. inserircliente_obra.php        —       25 linhas  /     1 arquivos
539. tools/bump_deploy_version.php  —       25 linhas  /     1 arquivos
540. vendor/autoload.php            —       25 linhas  /     1 arquivos
541. Acompanhamento/buscar_acomp_email.php —       24 linhas  /     1 arquivos
542. Arquitetura/atualizar_tabela.php —       24 linhas  /     1 arquivos
543. Dashboard/delete_status_hold.php —       24 linhas  /     1 arquivos
544. Dashboard/updateOrder.php      —       24 linhas  /     1 arquivos
545. Revisao/responder_comentario.php —       24 linhas  /     1 arquivos
546. notificacoes/actions/toggle.php —       24 linhas  /     1 arquivos
547. review/atualizarImagem.php     —       24 linhas  /     1 arquivos
548. review/responder_comentario.php —       24 linhas  /     1 arquivos
549. salvarRevisaoMes.php           —       24 linhas  /     1 arquivos
550. scriptsDiarios.php             —       24 linhas  /     1 arquivos
551. Arquitetura/inserir_assets.php —       23 linhas  /     1 arquivos
552. Producao/README.md             —       23 linhas  /     1 arquivos
553. Revisao/excluir_imagem.php     —       23 linhas  /     1 arquivos
554. ScriptArquivos/buscar_arquivos_obra.php —       23 linhas  /     1 arquivos
555. getFuncoesEmAndamento.php      —       23 linhas  /     1 arquivos
556. listar_obras.php               —       23 linhas  /     1 arquivos
557. CHANGELOG/Flow/.obsidian/graph.json —       22 linhas  /     1 arquivos
558. ControleComercial/atualizar_tabela.php —       22 linhas  /     1 arquivos
559. Dashboard/delete_fotografico_altura.php —       22 linhas  /     1 arquivos
560. Obras/getObras.php             —       22 linhas  /     1 arquivos
561. Pos-Producao/marcar_lida.php   —       22 linhas  /     1 arquivos
562. Revisao/atualizar_comentario.php —       22 linhas  /     1 arquivos
563. assets/pdfjs/pdf.min.js        —       22 linhas  /     1 arquivos
564. assets/pdfjs/pdf.worker.min.js —       22 linhas  /     1 arquivos
565. deleteAcompanhamento.php       —       22 linhas  /     1 arquivos
566. Revisao/vendor/composer/LICENSE —       21 linhas  /     1 arquivos
567. ScriptArquivos/vendor/composer/LICENSE —       21 linhas  /     1 arquivos
568. gitLogs.js                     —       21 linhas  /     1 arquivos
569. vendor/composer/LICENSE        —       21 linhas  /     1 arquivos
570. CHANGELOG/Flow/changelog.md    —       20 linhas  /     1 arquivos
571. PaginaPrincipal/Overview/getAtualizacoes.php —       20 linhas  /     1 arquivos
572. review/delete.php              —       20 linhas  /     1 arquivos
573. scripts/txt_importer/images_input.txt —       20 linhas  /     1 arquivos
574. Arquitetura/conexao.php        —       19 linhas  /     1 arquivos
575. Dashboard/atualizarObs.php     —       19 linhas  /     1 arquivos
576. FlowReview/excluir_comentario.php —       19 linhas  /     1 arquivos
577. Metas/conexao.php              —       19 linhas  /     1 arquivos
578. Pos-Producao/conexao.php       —       19 linhas  /     1 arquivos
579. Pos-Producao/fetch_notifications.php —       19 linhas  /     1 arquivos
580. Revisao/excluir_comentario.php —       19 linhas  /     1 arquivos
581. infoCliente/conexao.php        —       19 linhas  /     1 arquivos
582. review/excluir_comentario.php  —       19 linhas  /     1 arquivos
583. Colaborador/salvar_colaborador.php —       18 linhas  /     1 arquivos
584. Obras/getAcompanhamentoEmail.php —       18 linhas  /     1 arquivos
585. insertImagens.html             —       18 linhas  /     1 arquivos
586. teste_sessao.php               —       18 linhas  /     1 arquivos
587. vendor/composer/autoload_psr4.php —       18 linhas  /     1 arquivos
588. verifica_acesso.php            —       18 linhas  /     1 arquivos
589. verifica_render.php            —       18 linhas  /     1 arquivos
590. FlowReview/SQL_USERS.md        —       17 linhas  /     1 arquivos
591. Revisao/vendor/composer/autoload_psr4.php —       17 linhas  /     1 arquivos
592. CHANGELOG/Flow/imagens/caminho_arquivo.png —       16 linhas  /     1 arquivos
593. system_version.php             —       16 linhas  /     1 arquivos
594. updateDias.php                 —       16 linhas  /     1 arquivos
595. CHANGELOG/Flow/GANTT.md        —       15 linhas  /     1 arquivos
596. Revisao/vendor/composer/autoload_classmap.php —       15 linhas  /     1 arquivos
597. assets/Screenshot_2.png        —       15 linhas  /     1 arquivos
598. Calendario/conexao.php         —       14 linhas  /     1 arquivos
599. Entregas/update_entrega_status.php —       14 linhas  /     1 arquivos
600. ScriptArquivos/conexao.php     —       14 linhas  /     1 arquivos
601. atualizarFuncao.php            —       14 linhas  /     1 arquivos
602. conexao.php                    —       14 linhas  /     1 arquivos
603. test_db.php                    —       14 linhas  /     1 arquivos
604. .vscode/sftp.json              —       13 linhas  /     1 arquivos
605. Colaborador/get_cargos.php     —       13 linhas  /     1 arquivos
606. Dashboard/styleInfos.css       —       13 linhas  /     1 arquivos
607. Revisao/buscar_usuarios.php    —       13 linhas  /     1 arquivos
608. Revisao/vendor/composer/autoload_files.php —       13 linhas  /     1 arquivos
609. scripts/package.json           —       13 linhas  /     1 arquivos
610. README.md                      —       12 linhas  /     1 arquivos
611. ScriptArquivos/vendor/composer/autoload_files.php —       11 linhas  /     1 arquivos
612. ScriptArquivos/vendor/composer/autoload_psr4.php —       11 linhas  /     1 arquivos
613. tools/mapping_escolhidos.csv   —       11 linhas  /     1 arquivos
614. vendor/composer/autoload_classmap.php —       11 linhas  /     1 arquivos
615. Revisao/vendor/composer/autoload_namespaces.php —       10 linhas  /     1 arquivos
616. ScriptArquivos/vendor/composer/autoload_classmap.php —       10 linhas  /     1 arquivos
617. sql/2026-01-13_add_pdf_comment_fields.sql —       10 linhas  /     1 arquivos
618. vendor/composer/autoload_files.php —       10 linhas  /     1 arquivos
619. ScriptArquivos/vendor/composer/autoload_namespaces.php —        9 linhas  /     1 arquivos
620. debug.php                      —        9 linhas  /     1 arquivos
621. vendor/composer/autoload_namespaces.php —        9 linhas  /     1 arquivos
622. FlowReview/.htaccess           —        8 linhas  /     1 arquivos
623. webhook.php                    —        8 linhas  /     1 arquivos
624. Revisao/composer.json          —        7 linhas  /     1 arquivos
625. Revisao/teste_sftp.php         —        7 linhas  /     1 arquivos
626. composer.json                  —        7 linhas  /     1 arquivos
627. CHANGELOG/Flow/imagens.md      —        6 linhas  /     1 arquivos
628. ML/requirements-ml.txt         —        6 linhas  /     1 arquivos
629. assets/ferramentas-de-reparacao.png —        6 linhas  /     1 arquivos
630. CHANGELOG/Flow/suporte.md      —        5 linhas  /     1 arquivos
631. ScriptArquivos/composer.json   —        5 linhas  /     1 arquivos
632. logout.php                     —        5 linhas  /     1 arquivos
633. .vscode/settings.json          —        4 linhas  /     1 arquivos
634. Dashboard/briefing_arquivos_db.php —        4 linhas  /     1 arquivos
635. assets/curva-seta-para-a-esquerda.png —        4 linhas  /     1 arquivos
636. .htaccess                      —        3 linhas  /     1 arquivos
637. CHANGELOG/Flow/.obsidian/app.json —        3 linhas  /     1 arquivos
638. debug_files.txt                —        3 linhas  /     1 arquivos
639. info.php                       —        2 linhas  /     1 arquivos
640. .gitattributes                 —        1 linhas  /     1 arquivos
641. CHANGELOG/Flow/.obsidian/appearance.json —        1 linhas  /     1 arquivos
642. assets/teste2.txt              —        1 linhas  /     1 arquivos
643. phpinfo.php                    —        1 linhas  /     1 arquivos
644. scripts/txt_importer/requirements.txt —        1 linhas  /     1 arquivos
645. assets/teste.txt               —        0 linhas  /     1 arquivos

Top 10 arquivos por linhas (global):
   19713  debug_upload_0.pdf
    8474  Dashboard/scriptObra.js
    6688  package-lock.json
    4733  Backup/backup_completo_2026-01-17.sql
    4733  Backup/backup_completo_2026-01-18.sql
    4733  Backup/backup_completo_2026-01-19.sql
    4732  Backup/backup_completo_2026-01-16.sql
    4730  Backup/backup_completo_2026-01-15.sql
    4128  debug_upload_2.pdf
    3818  Dashboard/scriptObra2.js
